"Story","Title","Result","Date","Stability","Duration (s)"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty data","SUCCESS","2022-06-20T20:24:45.179+07:00[Asia/Bangkok]","0.0","1.48"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty email","SUCCESS","2022-06-20T20:24:46.713+07:00[Asia/Bangkok]","0.0","0.94"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with not use @ in email","SUCCESS","2022-06-20T20:24:47.699+07:00[Asia/Bangkok]","0.0","0.86"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with not use domain email","SUCCESS","2022-06-20T20:24:48.6+07:00[Asia/Bangkok]","0.0","0.9"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty username","SUCCESS","2022-06-20T20:24:49.549+07:00[Asia/Bangkok]","0.0","0.76"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with fill number on username field","SUCCESS","2022-06-20T20:24:50.325+07:00[Asia/Bangkok]","0.0","1.57"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with fill letter only on username field","SUCCESS","2022-06-20T20:24:51.917+07:00[Asia/Bangkok]","0.0","2.62"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty password","SUCCESS","2022-06-20T20:24:54.566+07:00[Asia/Bangkok]","0.0","1.57"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with invalid password","SUCCESS","2022-06-20T20:24:56.185+07:00[Asia/Bangkok]","0.0","0.98"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with fill password with number only","SUCCESS","2022-06-20T20:24:57.176+07:00[Asia/Bangkok]","0.0","1.13"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with fill password with letter only","SUCCESS","2022-06-20T20:24:58.309+07:00[Asia/Bangkok]","0.0","1.11"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with fill password with combination char","SUCCESS","2022-06-20T20:24:59.427+07:00[Asia/Bangkok]","0.0","1.52"
